star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_vmagsrc,st_bmv,st_bmverr,st_bmvsrc,st_spttype,st_lbol,st_lbolerr,st_lbolsrc
HIP 746,HIP 746,HD 432,GJ 8,2MASS J00091071+5908591,1,1,0,0,0,0,0,00h09m10.09s,+59d09m00.8s,16.78,0.17,-0.17,2.260,0.020,VT,0.360,0.020,BVT-Blue,F2III-IV,29.090,0.060,V-K
HIP 910,HIP 910,HD 693,GJ 10,2MASS J00111587-1528043,1,1,0,0,1,0,0,00h11m15.91s,-15d28m02.4s,18.75,0.19,-0.19,4.890,0.010,G,0.490,0.010,G,F5V,3.380,0.060,V-K
HIP 1599,HIP 1599,HD 1581,GJ 17,2MASS J00200446-6452282,1,1,1,0,0,0,0,00h20m01.91s,-64d52m39.4s,8.59,,,4.230,0.010,G,0.580,0.010,G,G0V,1.330,0.050,V-K
HIP 2021,HIP 2021,HD 2151,GJ 19,2MASS J00254416-7715157,1,1,1,0,0,0,0,00h25m39.20s,-77d15m18.1s,7.46,,,2.820,0.010,G,0.620,0.010,G,G1IV,3.700,0.050,V-K
HIP 2072,HIP 2072,HD 2262,GJ 20,2MASS J00261219-4340475,1,1,0,0,0,0,0,00h26m12.12s,-43d40m47.7s,23.81,,,3.930,0.010,G,0.180,0.010,G,A6VN,12.770,0.050,V-K
HIP 2081,HIP 2081,HD 2261,GJ 9013,2MASS J00261699-4218216,1,1,0,0,0,0,0,00h26m16.87s,-42d18m18.4s,25.97,0.53,-0.51,2.400,0.010,G,1.080,0.020,G,K0IIIB,88.070,0.070,V-K
HIP 2941 A,HIP 2941 A,HD 3443 A,GJ 25 A,2MASS J00372057-2446023 A,1,0,1,0,0,0,0,00h37m19.79s,-24d46m02.0s,15.40,0.48,-0.45,5.570,0.000,G,0.720,0.000,G,K1V+G,1.320,0.080,V-K
HD 3651,HIP 3093,HD 3651,GJ 27,2MASS J00392187+2115024,1,0,1,1,0,1,1,00h39m22.09s,+21d15m04.9s,11.06,,,5.880,0.010,G,0.850,0.010,G,K0V,0.540,0.050,V-K
tau Cet,HIP 8102,HD 10700,GJ 71,2MASS J01440402-1556141,1,1,1,1,1,1,4,01h44m05.13s,-15d56m22.4s,3.65,,,3.490,0.000,G,0.730,0.010,G,G8.5V,0.520,0.050,V-K
HIP 8362,HIP 8362,HD 10780,GJ 75,2MASS J01474488+6351090,1,0,1,0,1,1,0,01h47m44.06s,+63d51m11.2s,10.07,0.10,-0.10,5.630,0.010,G,0.800,0.010,G,K0V,0.550,0.050,V-K
HIP 8497,HIP 8497,HD 11171,GJ 9061 A,2MASS J01493510-1041110,1,1,0,0,0,0,0,01h49m35.19s,-10d41m10.3s,23.19,0.23,-0.23,4.650,0.020,VT,0.330,0.000,G,F0V,6.090,0.060,V-K
HIP 8796,HIP 8796,HD 11443,GJ 78.1,2MASS J01530489+2934442,1,1,0,0,0,0,0,01h53m04.90s,+29d34m45.8s,19.42,,,3.420,0.010,G,0.490,0.010,G,F6IV,13.850,0.050,V-K
HIP 8903,HIP 8903,HD 11636,GJ 80,2MASS J01543840+2048291,1,1,0,0,0,0,0,01h54m38.35s,+20d48m29.9s,17.99,0.18,-0.18,2.630,0.020,VT,0.160,0.020,BVT-Blue,A5V...,24.760,0.070,V-K
HIP 9007,HIP 9007,HD 11937,GJ 81 A,2MASS J01555745-5136319 A,1,1,0,0,0,0,0,01h55m56.83s,-51d36m34.5s,17.85,0.18,-0.18,3.690,0.010,G,0.840,0.020,G,G8IIIBCNIV,10.950,0.100,B-V
HIP 9236,HIP 9236,HD 12311,GJ 83,2MASS J01584623-6134113,1,1,0,0,0,0,0,01h58m45.87s,-61d34m11.7s,22.01,0.22,-0.22,2.860,0.010,G,0.290,0.010,G,F0V,28.750,0.060,V-K
alf Ari,HIP 9884,HD 12929,GJ 84.3,2MASS J02071038+2327447,1,1,0,0,0,1,1,02h07m10.29s,+23d27m46.0s,20.18,0.20,-0.20,2.010,0.000,G,1.150,0.010,G,K2III,85.890,0.050,V-K
GJ 86,HIP 10138,HD 13445,GJ 86,2MASS J02102587-5049258,1,0,1,0,0,1,1,02h10m24.00s,-50d49m31.1s,10.78,,,6.120,0.010,G,0.810,0.020,G,K1V,0.420,0.100,B-V
HIP 10644,HIP 10644,HD 13974,GJ 92,2MASS J02170303+3413278,1,1,1,0,0,0,0,02h17m02.42s,+34d13m29.4s,10.78,,,4.860,0.020,VT,0.610,0.010,G,G0V,1.210,0.060,V-K
HIP 12114,HIP 12114,HD 16160,GJ 105 A,2MASS J02360498+0653140,1,0,1,1,1,1,0,02h36m03.83s,+06d53m00.1s,7.18,,,5.820,0.020,VT-G,0.980,0.020,BVT-G-Red,K3V,0.290,0.100,B-V
HIP 12706 A,HIP 12706 A,HD 16970,GJ 106.1 A,2MASS J02431801+0314089 A,1,1,0,0,0,0,0,02h43m18.12s,+03d14m10.2s,24.41,0.50,-0.48,3.470,0.000,G,0.090,0.000,G,A2Va,21.160,0.060,V-K
HIP 12777,HIP 12777,HD 16895,GJ 107 A,2MASS J02441197+4913423,1,1,1,0,1,0,0,02h44m11.69s,+49d13m43.2s,11.13,,,4.100,0.020,VT,0.490,0.020,BVT-Red,F7V,2.420,0.060,V-K
HIP 12828,HIP 12828,HD 17094,GJ 9099,2MASS J02445655+1006510,1,1,0,0,0,0,0,02h44m56.37s,+10d06m51.2s,25.77,0.26,-0.26,4.270,0.010,G,0.310,0.010,G,F1III-IV,10.720,0.100,B-V
HIP 12843,HIP 12843,HD 17206,GJ 111,2MASS J02450616-1834211,1,1,1,0,1,0,0,02h45m05.98s,-18d34m21.5s,14.22,0.44,-0.41,4.470,0.010,G,0.480,0.010,G,F5/6V,2.830,0.080,V-K
HIP 13402,HIP 13402,HD 17925,GJ 117,2MASS J02523210-1246109,1,0,1,0,0,1,0,02h52m31.89s,-12d46m09.3s,10.35,,,6.050,0.020,VT,0.860,0.020,G,K1V,0.420,0.060,V-K
HIP 14146,HIP 14146,HD 18978,GJ 121,2MASS J03022353-2337281,1,1,0,0,0,0,0,03h02m23.59s,-23d37m27.6s,27.17,,,4.080,0.000,G,0.160,0.000,G,A4V,14.410,0.050,V-K
HIP 14576,HIP 14576,HD 19356,GJ 9110,2MASS J03081012+4057204,1,1,0,0,0,0,0,03h08m10.13s,+40d57m20.3s,27.57,1.15,-1.06,2.110,0.010,VT,-0.010,0.010,BVT-Blue,B8V,141.600,0.100,V-K
HIP 14632,HIP 14632,HD 19373,GJ 124,2MASS J03090387+4936479,1,1,1,0,1,1,0,03h09m02.88s,+49d36m48.6s,10.54,,,4.050,0.000,G,0.600,0.010,G,G0V,2.360,0.050,V-K
HIP 14879 A,HIP 14879 A,HD 20010,GJ 127 A,2MASS J03120443-2859156 A,1,1,1,0,0,0,0,03h12m04.28s,-28d59m20.8s,14.24,0.14,-0.14,3.800,0.010,G,0.540,0.020,G,F8V,5.300,0.060,V-K
HIP 15330,HIP 15330,HD 20766,GJ 136,2MASS J03174616-6234313,1,0,1,1,0,0,0,03h17m44.47s,-62d34m36.8s,12.01,,,5.530,0.000,G,0.640,0.010,G,G3/5V,0.800,0.050,V-K
HIP 15371,HIP 15371,HD 20807,GJ 138,2MASS J03181281-6230230,1,1,1,0,0,0,0,03h18m11.14s,-62d30m28.6s,12.03,,,5.240,0.010,G,0.600,0.010,G,G2V,1.030,0.050,V-K
HIP 15457,HIP 15457,HD 20630,GJ 137,2MASS J03192169+0322126,1,1,1,0,0,1,0,03h19m21.54s,+03d22m11.9s,9.14,,,4.840,0.020,VT,0.680,0.010,G,G5V,0.880,0.060,V-K
HD 20794,HIP 15510,HD 20794,GJ 139,2MASS J03195563-4304112,1,1,1,1,0,0,4,03h19m53.22s,-43d04m17.6s,6.04,0.06,-0.06,4.260,0.000,G,0.710,0.010,G,G8.0V,0.690,0.050,V-K
HIP 16245,HIP 16245,HD 22001,GJ 143.2 A,2MASS J03292266-6256152,1,1,0,0,0,0,0,03h29m22.19s,-62d56m18.4s,21.68,,,4.700,0.020,VT,0.410,0.000,G,F3IV/V,5.180,0.060,V-K
eps Eri,HIP 16537,HD 22049,GJ 144,2MASS J03325591-0927298,1,1,1,1,1,1,1,03h32m56.42s,-09d27m29.9s,3.21,,,3.710,0.020,VT,0.880,0.010,G,K2.0V,0.350,0.060,V-K
HIP 16852,HIP 16852,HD 22484,GJ 147,2MASS J03365238+0024054,1,1,1,1,1,1,0,03h36m52.52s,+00d24m10.2s,13.96,0.14,-0.14,4.290,0.010,G,0.580,0.010,G,F8V,3.290,0.050,V-K
HIP 17378,HIP 17378,HD 23249,GJ 150,2MASS J03431490-0945490,1,1,1,0,0,1,0,03h43m14.96s,-09d45m54.7s,9.04,,,3.520,0.020,VT,0.930,0.020,BVT-G-Red,K0IV,3.370,0.060,V-K
HIP 17440,HIP 17440,HD 23817,GJ 154.2,2MASS J03441195-6448248,1,1,0,0,0,0,0,03h44m11.55s,-64d48m25.5s,29.86,0.61,-0.59,3.840,0.000,G,1.130,0.000,G,K0IV SB,39.120,0.110,B-V
HIP 17651,HIP 17651,HD 23754,GJ 155,2MASS J03465090-2314585,1,1,0,0,1,0,0,03h46m50.99s,-23d14m54.4s,17.63,,,4.220,0.010,G,0.430,0.010,G,F3/5V,5.390,0.100,B-V
HD 26965,HIP 19849,HD 26965,GJ 166 A,2MASS J04151651-0739068,1,1,1,1,1,1,1,04h15m17.64s,-07d38m40.4s,4.98,,,4.430,0.000,G,0.820,0.000,G,K0.5V,0.420,0.100,B-V
HIP 19859,HIP 19859,HD 26923,,2MASS J04152879+0611128,1,0,0,1,0,0,0,04h15m28.86s,+06d11m13.6s,21.33,0.22,-0.21,6.320,0.010,G,0.570,0.010,G,G0IV...,1.200,0.040,V-K
HIP 19893,HIP 19893,HD 27290,GJ 167.1,2MASS J04160159-5129119,1,1,0,0,0,0,0,04h16m01.49s,-51d29m13.5s,20.46,0.21,-0.20,4.250,0.020,VT,0.310,0.010,G,F0V,6.900,0.060,V-K
HD 27442,HIP 19921,HD 27442,GJ 167.3,2MASS J04162902-5918078,1,1,0,0,0,1,1,04h16m29.08s,-59d18m06.3s,18.24,,,4.440,0.000,G,1.080,0.010,G,K1/2III,6.880,0.050,V-K
alf Tau,HIP 21421,HD 29139,GJ 171.1 A,2MASS J04355524+1630331,1,1,0,0,0,0,1,04h35m55.20s,+16d30m35.1s,20.43,0.42,-0.40,0.870,0.010,G,1.540,0.010,G,K5III,469.490,0.060,V-K
HIP 21770,HIP 21770,HD 29875,GJ 174.1 A,2MASS J04403374-4151495 A,1,1,0,0,0,0,0,04h40m33.82s,-41d51m48.9s,20.17,,,4.440,0.010,G,0.340,0.010,G,F1V,5.610,0.050,V-K
HIP 22263,HIP 22263,HD 30495,GJ 177,2MASS J04473628-1656041,1,0,1,0,0,1,0,04h47m36.21s,-16d56m05.5s,13.28,,,5.490,0.020,VT,0.630,0.010,G,G3V,1.010,0.100,B-V
HD 30562,HIP 22336,HD 30562,GJ 177.1,2MASS J04483633-0540258,1,0,1,0,0,1,1,04h48m36.20s,-05d40m24.4s,26.42,0.27,-0.26,5.760,0.020,VT,0.630,0.000,G,G5V,3.080,0.060,V-K
HIP 22449,HIP 22449,HD 30652,GJ 178,2MASS J04495040+0657409,1,1,1,0,1,1,0,04h49m50.14s,+06d57m40.5s,8.07,,,3.170,0.020,VT,0.460,0.020,BVT-Red,F6V,3.000,0.060,V-K
GJ 179,HIP 22627,,GJ 179,2MASS J04520573+0628356,1,0,1,0,0,1,1,04h52m05.64s,+06d28m38.3s,12.29,0.65,-0.59,12.020,0.010,Koen,1.550,0.010,Koen,M4,0.020,0.150,V-K
HIP 23311,HIP 23311,HD 32147,GJ 183,2MASS J05004896-0545117,1,0,1,0,1,1,0,05h00m48.68s,-05d45m03.5s,8.71,,,6.230,0.020,VT,1.050,0.010,G,K4III,0.300,0.060,V-K
HIP 23693,HIP 23693,HD 33262,GJ 189,2MASS J05053067-5728217,1,1,1,0,0,0,0,05h05m30.69s,-57d28m22.8s,11.65,,,4.710,0.010,G,0.530,0.010,G,F6/7V,1.540,0.100,B-V
HIP 23835,HIP 23835,HD 32923,GJ 188 A,2MASS J05072692+1838420 A,1,1,1,0,0,1,0,05h07m26.68s,+18d38m42.0s,15.43,0.16,-0.15,4.910,0.010,G,0.660,0.010,G,G4V,2.330,0.050,V-K
HIP 23875,HIP 23875,HD 33111,GJ 9175,2MASS J05075100-0505109,1,1,0,0,1,0,0,05h07m51.03s,-05d05m10.5s,27.40,0.28,-0.27,2.760,0.020,VT,0.150,0.020,BVT-Blue,A3IVn,49.810,0.070,V-K
HIP 24205,HIP 24205,HD 33636,,2MASS J05114645+0424127,1,0,1,0,0,1,0,05h11m46.34s,+04d24m13.9s,28.37,0.88,-0.83,6.980,0.020,VT,0.590,0.020,G,G1/2V,1.150,0.090,V-K
HIP 24608,HIP 24608,HD 34029,GJ 194 A,2MASS J05164138+4559525 A,1,1,0,0,0,0,0,05h16m41.30s,+45d59m56.5s,13.12,0.13,-0.13,0.080,0.010,G,0.800,0.020,G,M1:comp,158.400,0.060,V-K
HIP 24813,HIP 24813,HD 34411,GJ 197,2MASS J05190848+4005565,1,1,1,0,1,1,0,05h19m08.08s,+40d06m02.4s,12.63,,,4.690,0.020,VT,0.610,0.020,BVT-Red,G0V,1.890,0.060,V-K
HIP 25278,HIP 25278,HD 35296,GJ 202,2MASS J05242545+1723006,1,1,1,0,1,0,0,05h24m25.31s,+17d23m00.8s,14.39,0.15,-0.14,5.000,0.020,VT,0.520,0.020,BVT-Red,F8VSB,1.800,0.060,V-K
HD 39091,HIP 26394,HD 39091,GJ 9189,2MASS J05370988-8028090,1,1,1,0,0,1,2,05h37m08.79s,-80d28m18.0s,18.32,,,5.650,0.000,G,0.600,0.000,G,G1V,1.640,0.100,B-V
HIP 26779,HIP 26779,HD 37394,GJ 211,2MASS J05412033+5328523,1,0,1,0,0,1,0,05h41m20.33s,+53d28m56.4s,12.28,0.12,-0.12,6.200,0.020,VT,0.840,0.010,G,K1V,0.500,0.040,V-K
HIP 27072,HIP 27072,HD 38393,GJ 216 A,2MASS J05442780-2226538,1,1,1,0,1,0,0,05h44m27.97s,-22d26m51.0s,8.93,,,3.590,0.010,G,0.480,0.010,G,F7V,2.510,0.050,V-K
HIP 27288,HIP 27288,HD 38678,GJ 217.1,2MASS J05465735-1449189,1,1,0,0,1,0,0,05h46m57.35s,-14d49m19.0s,21.61,,,3.550,0.000,G,0.100,0.000,G,A2VANN,15.400,0.050,V-K
bet Pic,HIP 27321,HD 39060,GJ 219,2MASS J05471708-5103594,1,1,0,0,0,1,2,05h47m17.08s,-51d04m00.2s,19.44,,,3.850,0.000,G,0.170,0.000,G,A5V,9.080,0.050,V-K
HD 38858,HIP 27435,HD 38858,GJ 1085,2MASS J05483495-0405404,1,0,0,1,0,0,0,05h48m34.90s,-04d05m38.7s,15.18,0.15,-0.15,5.970,0.000,G,0.640,0.000,G,G3V,0.850,0.050,V-K
HIP 27628,HIP 27628,HD 39425,,2MASS J05505760-3546062,1,1,0,0,0,0,0,05h50m57.55s,-35d46m09.5s,26.73,,,3.100,0.020,VT-G,1.170,0.020,BVT-G-Red,K1.5III,52.650,0.060,V-K
HIP 27890,HIP 27890,HD 40409,GJ 224.1,2MASS J05540606-6305230,1,1,0,0,0,0,0,05h54m05.90s,-63d05m27.7s,26.25,0.54,-0.51,4.640,0.020,VT-G,1.050,0.020,BVT-G-Red,K1III/IV,12.300,0.110,B-V
HIP 27913,HIP 27913,HD 39587,GJ 222 A,2MASS J05542300+2016344 A,1,1,1,1,0,0,0,05h54m23.08s,+20d16m35.1s,8.66,,,4.390,0.020,VT,0.590,0.010,G,G0V,1.170,0.060,V-K
HIP 28103,HIP 28103,HD 40136,GJ 225,2MASS J05562429-1410036,1,1,1,0,1,0,0,05h56m24.32s,-14d10m04.9s,14.88,,,3.710,0.010,G,0.340,0.010,G,F1V,6.020,0.050,V-K
HIP 28360,HIP 28360,HD 40183,GJ 3375,2MASS J05593172+4456508,1,1,0,0,0,0,0,05h59m31.77s,+44d56m50.8s,24.87,0.25,-0.25,1.890,0.010,VT,0.070,0.010,BVT-Blue,A2V,110.910,0.050,V-K
HIP 29271,HIP 29271,HD 43834,GJ 231,2MASS J06101448-7445107,1,1,1,1,0,0,0,06h10m14.20s,-74d45m09.1s,10.20,,,5.080,0.010,G,0.710,0.020,G,G6V,0.910,0.100,B-V
7 CMa,HIP 31592,HD 47205,GJ 239.1,2MASS J06364103-1915210,1,1,0,0,0,1,2,06h36m41.00s,-19d15m20.6s,19.75,,,3.950,0.020,VT,1.060,0.020,BVT-G-Red,K1III(+M),11.990,0.060,V-K
HIP 32349,HIP 32349,HD 48915,GJ 244 A,2MASS J06450887-1642566 A,1,1,1,0,0,0,0,06h45m09.25s,-16d42m47.3s,2.63,,,-1.440,0.000,G,0.010,0.010,G,A1.0V,30.480,0.050,V-K
HIP 32362,HIP 32362,HD 48737,GJ 242,2MASS J06451737+1253438,1,1,0,0,1,0,0,06h45m17.43s,+12d53m45.8s,18.00,,,3.320,0.020,VT,0.440,0.010,G,F5IV,12.770,0.060,V-K
HIP 32607,HIP 32607,HD 50241,GJ 248,2MASS J06481145-6156290,1,1,0,0,0,0,0,06h48m11.54s,-61d56m31.1s,29.60,1.56,-1.41,3.230,0.020,VT,0.220,0.020,BVT-G-Blue,A7IV,36.400,0.140,V-K
HIP 33202 A,HIP 33202 A,HD 50635,GJ 9220 A,2MASS J06543863+1310401,1,1,0,0,0,0,0,06h54m38.59s,+13d10m40.9s,25.63,1.07,-0.99,4.730,0.010,G,0.320,0.020,G,F0Vp,6.950,0.140,B-V
HIP 34065,HIP 34065,HD 53705,GJ 264.1 A,2MASS J07035734-4336289,1,0,1,0,0,0,0,07h03m57.40s,-43d36m32.3s,16.52,0.34,-0.32,5.560,0.010,G,0.620,0.010,G,G3V,1.450,0.070,V-K
HIP 34834,HIP 34834,HD 55892,GJ 268.1,2MASS J07123363-4645337,1,1,0,0,0,0,0,07h12m33.74s,-46d45m34.4s,21.43,,,4.490,0.010,G,0.320,0.010,G,F0IV,6.050,0.050,V-K
HIP 35136,HIP 35136,HD 55575,GJ 1095,2MASS J07155011+4714241,1,0,0,1,0,0,0,07h15m50.11s,+47d14m25.5s,16.89,0.17,-0.17,5.540,0.020,VT,0.580,0.000,G,G0V,1.540,0.060,V-K
HIP 35550,HIP 35550,HD 56986,GJ 271 A,2MASS J07200736+2158561 A,1,1,0,0,0,0,0,07h20m07.39s,+21d58m56.4s,18.54,0.19,-0.18,3.500,0.010,G,0.370,0.020,G,F0IV...,11.380,0.060,V-K
HIP 36366,HIP 36366,HD 58946,GJ 274 A,2MASS J07290671+3147043 A,1,1,0,0,0,0,0,07h29m06.61s,+31d47m02.7s,18.05,,,4.160,0.020,VT,0.320,0.010,G,F0V...,5.840,0.060,V-K
HD 60532,HIP 36795,HD 60532,GJ 279,2MASS J07340317-2217457,1,1,0,0,0,1,2,07h34m03.21s,-22d17m46.3s,25.30,0.26,-0.25,4.440,0.010,G,0.520,0.010,G,F6V,9.300,0.100,B-V
HIP 36850 A,HIP 36850 A,HD 60179,GJ 278 A,2MASS J07343598+3153184 A,1,1,1,0,0,0,0,07h34m36.00s,+31d53m19.1s,15.60,1.00,-0.88,1.580,0.000,G,0.030,0.000,G,A2Vm,53.930,0.170,B-V
HIP 37279,HIP 37279,HD 61421,GJ 280 A,2MASS J07391805+0513298 A,1,1,1,0,0,0,0,07h39m18.54s,+05d13m39.0s,3.51,,,0.400,0.010,G,0.430,0.020,G,F5IV-V,7.120,0.040,V-K
HD 62509,HIP 37826,HD 62509,GJ 286,2MASS J07451891+2801340,1,1,1,0,0,1,1,07h45m19.36s,+28d01m34.7s,10.36,,,1.160,0.000,G,0.990,0.010,G,K0IIIvar,40.950,0.050,V-K
HIP 37853,HIP 37853,HD 63077,GJ 288 A,2MASS J07453500-3410226,1,0,1,1,0,0,0,07h45m35.18s,-34d10m35.6s,15.21,0.15,-0.15,5.360,0.010,G,0.590,0.010,G,G0V,1.510,0.060,V-K
HIP 38382 A,HIP 38382 A,HD 64096,GJ 291 A,2MASS J07514629-1353526 A,1,0,1,0,0,0,0,07h51m46.34s,-13d53m49.9s,16.50,0.17,-0.16,5.160,0.000,G,0.600,0.010,G,G2V,2.110,0.060,V-K
HIP 38908,HIP 38908,HD 65907,GJ 294 A,2MASS J07574692-6018111,1,0,1,0,0,0,0,07h57m46.30s,-60d18m12.1s,16.20,,,5.580,0.020,VT,0.570,0.010,G,G0V,1.360,0.060,V-K
HIP 39757,HIP 39757,HD 67523,,2MASS J08073264-2418154,1,1,0,0,0,0,0,08h07m32.70s,-24d18m16.0s,19.48,,,2.790,0.020,VT,0.460,0.020,BVT-Blue,F2MF5IIP,24.250,0.060,V-K
HIP 39903,HIP 39903,HD 68456,GJ 297.1,2MASS J08090068-6118088,1,1,0,0,0,0,0,08h09m00.86s,-61d18m06.1s,19.98,1.05,-0.95,4.740,0.020,VT,0.440,0.010,G,F5V,4.290,0.170,B-V
HIP 40167 A,HIP 40167 A,HD 68257,GJ 9257 A,2MASS J08121278+1738522 A,1,1,0,0,0,0,0,08h12m12.71s,+17d38m53.3s,25.08,0.51,-0.49,5.240,0.020,VT,0.530,0.000,G,G0V,4.560,0.060,V-K
HD 69830,HIP 40693,HD 69830,GJ 302,2MASS J08182389-1237541,1,0,1,0,0,1,3,08h18m23.78s,-12d37m47.2s,12.49,,,5.940,0.020,VT,0.750,0.010,G,K0V,0.630,0.060,V-K
HIP 40702,HIP 40702,HD 71243,GJ 305,2MASS J08183157-7655108,1,1,0,0,0,0,0,08h18m31.27s,-76d55m11.9s,19.56,,,4.050,0.020,VT,0.400,0.020,BVT-G-Blue,F5V,7.740,0.100,B-V
HIP 40706,HIP 40706,HD 70060,GJ 305,2MASS J08183332-3639333,1,1,0,0,0,0,0,08h18m33.39s,-36d39m34.3s,28.63,0.29,-0.28,4.440,0.000,G,0.220,0.010,G,A4(M)A5-A7,11.380,0.050,V-K
HD 70642,HIP 40952,HD 70642,GJ 304,2MASS J08212815-3942199,1,0,1,0,0,1,1,08h21m28.29s,-39d42m21.4s,28.07,0.28,-0.28,7.160,0.020,VT-G,0.710,0.020,BVT-G-Red,G8/K1(III+F/G),0.980,0.050,V-K
HIP 42438,HIP 42438,HD 72905,GJ 311,2MASS J08391162+6501151,1,0,1,0,0,1,0,08h39m11.74s,+65d01m14.5s,14.36,0.15,-0.14,5.630,0.000,G,0.620,0.000,G,G1.5Vb,1.030,0.050,V-K
HIP 42913 A,HIP 42913 A,HD 74956,GJ 321.3 A,2MASS J08444223-5442313 A,1,1,0,0,0,0,0,08h44m42.20s,-54d42m30.8s,24.70,0.25,-0.24,1.930,0.020,Hp-VI,0.040,0.010,G,A0V,96.770,0.110,B-V
55 Cnc,HIP 43587,HD 75732,GJ 324 A,2MASS J08523579+2819509,1,1,1,0,0,1,5,08h52m36.13s,+28d19m53.0s,12.34,0.12,-0.12,5.960,0.010,G,0.870,0.010,G,G8V,0.660,0.100,B-V
GJ 328,HIP 43790,,GJ 328,2MASS J08550761+0132472,1,0,1,0,0,1,1,08h55m07.60s,+01d32m56.6s,19.79,0.82,-0.76,9.990,0.000,G,1.370,0.010,G,M1,0.100,0.090,V-K
HIP 44127,HIP 44127,HD 76644,GJ 331 A,2MASS J08591246+4802304 A,1,1,1,0,0,0,0,08h59m12.84s,+48d02m32.5s,14.51,,,3.100,0.020,VT,0.210,0.020,BVT-Blue,A7IV,10.180,0.060,V-K
HIP 44248 A,HIP 44248 A,HD 76943,GJ 332 A,2MASS J09003845+4146583 A,1,1,1,0,0,0,0,09h00m38.75s,+41d47m00.4s,16.07,0.16,-0.16,3.970,0.020,VT,0.440,0.020,BVT-Blue,F5V,5.610,0.070,V-K
HIP 44901,HIP 44901,HD 78209,GJ 3534,2MASS J09085226+5136168,1,1,0,0,0,0,0,09h08m52.39s,+51d36m17.0s,28.82,0.29,-0.29,4.440,0.020,VT,0.290,0.010,G,Am,11.380,0.100,B-V
HIP 45038 A,HIP 45038 A,HD 78154,GJ 335 A,2MASS J09102351+6708030 A,1,1,0,0,1,0,0,09h10m23.53s,+67d08m03.3s,20.38,0.21,-0.20,4.800,0.000,G,0.490,0.010,G,F7IV-V,4.330,0.050,V-K
HIP 45170,HIP 45170,HD 79096,GJ 337 A,2MASS J09121762+1459454 A,1,0,0,1,0,0,0,09h12m17.87s,+14d59m43.6s,20.36,0.21,-0.20,6.480,0.020,VT,0.730,0.000,G,G9V,1.030,0.050,V-K
HIP 46509,HIP 46509,HD 81997 A,GJ 348 A,2MASS J09290891-0246083,1,1,0,0,0,0,0,09h29m08.84s,-02d46m08.2s,17.33,0.72,-0.67,4.590,0.010,G,0.410,0.020,G,F5V,3.720,0.110,V-K
HIP 46651 A,HIP 46651 A,HD 82434,GJ 351 A,2MASS J09304200-4028004 A,1,1,0,0,0,0,0,09h30m42.11s,-40d28m00.8s,18.81,0.19,-0.19,3.600,0.010,G,0.370,0.020,G,F2IV,10.650,0.060,V-K
HIP 46733,HIP 46733,HD 81937,GJ 3559,2MASS J09313170+6303427,1,1,0,0,1,0,0,09h31m31.57s,+63d03m42.5s,23.82,,,3.640,0.020,VT,0.360,0.020,G,F0IV,16.460,0.060,V-K
HIP 46853,HIP 46853,HD 82328,GJ 354 A,2MASS J09325151+5140384 A,1,1,1,0,0,0,0,09h32m52.33s,+51d40m43.0s,13.48,,,3.160,0.020,VT,0.470,0.020,BVT-G-Red,F6IV,8.450,0.060,V-K
HIP 47080,HIP 47080,HD 82885,GJ 356 A,2MASS J09353959+3548366 A,1,1,1,0,0,0,0,09h35m40.03s,+35d48m38.8s,11.37,,,5.390,0.020,VT,0.770,0.000,G,G8IV-V,0.850,0.060,V-K
HIP 47592,HIP 47592,HD 84117,GJ 364,2MASS J09421443-2354563,1,1,1,0,1,1,0,09h42m14.67s,-23d54m58.4s,15.01,,,4.920,0.020,VT,0.530,0.000,G,G0V,2.110,0.100,B-V
HIP 49081,HIP 49081,HD 86728,GJ 376,2MASS J10010072+3155262,1,0,1,0,0,1,0,10h01m01.02s,+31d55m29.0s,15.05,,,5.370,0.020,VT,0.670,0.020,BVT-Red,G1V,1.470,0.100,B-V
HIP 49593,HIP 49593,HD 87696,GJ 378.3,2MASS J10072573+3514409,1,1,0,0,0,0,0,10h07m25.73s,+35d14m40.9s,28.24,0.29,-0.28,4.490,0.010,G,0.190,0.010,G,A7V,10.680,0.050,V-K
HIP 49669,HIP 49669,HD 87901,GJ 9316 A,2MASS J10082229+1158018,1,1,0,0,0,0,0,10h08m22.46s,+11d58m01.9s,24.31,0.25,-0.24,1.410,0.010,VT-G,-0.040,0.010,BVT-G-Blue,B7V,215.450,0.030,V-K
HD 87883,HIP 49699,HD 87883,,2MASS J10084315+3414322,1,1,1,0,0,1,1,10h08m43.18s,+34d14m32.7s,18.20,0.18,-0.18,7.550,0.020,VT,0.990,0.020,BVT-Red,K0,0.350,0.050,V-K
HIP 49908,HIP 49908,HD 88230,GJ 380,2MASS J10112218+4927153,1,0,0,0,1,0,0,10h11m23.36s,+49d27m19.7s,4.87,,,6.600,0.020,VT,1.340,0.020,BVT-Red,K7.0V,0.110,0.060,V-K
HIP 50564,HIP 50564,HD 89449,GJ 388.1,2MASS J10194419+1928157,1,1,0,0,1,0,0,10h19m44.31s,+19d28m17.2s,21.37,0.22,-0.21,4.780,0.020,VT,0.450,0.010,G,F6IV,4.750,0.100,B-V
