kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
8247638,K00907.04,Kepler-251 e,CONFIRMED,CANDIDATE,,,,,,99.6368,0.002,-0.002,198.7001,0.0074,-0.0074,0.94,0.18,-0.18,5.2728,,,907,,,4.08,,,406.0,,,,,,18.30,,,5634.00,,,4.320,,,1.0900,,,19h46m15.89s,+44d06m21.1s,15.223,
8255887,K00908.01,Kepler-720 b,CONFIRMED,CANDIDATE,,,,,,4.708327,2.4e-06,-2.4e-06,171.44572,0.00016,-0.00016,0.02,0.56,-0.56,3.1677,,,7998,,,11.26,,,1161.0,,,,,,540.20,,,5391.00,,,4.200,,,1.2900,,,19h54m32.56s,+44d10m15.4s,15.113,
8256049,K00909.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,16.3719022,,,172.7616,,,,,,2.92,,,6829,,,,,,,,,,,,151.30,,,4070.00,,,4.733,,,,,,19h54m42.87s,+44d10m31.8s,15.654,
8414716,K00910.01,Kepler-721 b,CONFIRMED,CANDIDATE,,,,,,5.392066,2.3e-05,-2.3e-05,171.7242,0.0014,-0.0014,0.79,0.37,-0.37,3.1037,,,1186,,,2.88,,,804.0,,,,,,62.60,,,5017.00,,,4.620,,,0.7500,,,18h57m43.32s,+44d28m49.9s,15.651,
8490993,K00911.01,Kepler-722 b,CONFIRMED,CANDIDATE,,,,,,4.093603,2.9e-05,-2.9e-05,171.007,0.0022,-0.0022,0.76,0.66,-0.66,2.3292,,,578,,,2.36,,,1092.0,,,,,,30.50,,,5820.00,,,4.520,,,0.9100,,,19h21m03.19s,+44d33m23.2s,15.399,
8505670,K00912.01,Kepler-252 c,CONFIRMED,CANDIDATE,,,,,,10.848507,3.1e-05,-3.1e-05,171.8036,0.001,-0.001,0.29,0.86,-0.86,2.9606,,,1640,,,1.97,,,472.0,,,,,,84.90,,,4214.00,,,4.760,,,0.5000,,,19h42m19.04s,+44d32m45.5s,15.058,
8505670,K00912.02,Kepler-252 b,CONFIRMED,CANDIDATE,,,,,,6.668392,5.6e-05,-5.6e-05,137.4338,0.0031,-0.0031,0.7,0.65,-0.65,1.8745,,,420,,,1.08,,,553.0,,,,,,21.90,,,4214.00,,,4.760,,,0.5000,,,19h42m19.04s,+44d32m45.5s,15.058,
8544996,K00913.01,Kepler-723 b,CONFIRMED,CANDIDATE,,,,,,4.0822769,8e-07,-8e-07,169.6367,6e-05,-6e-05,0.03,0.18,-0.18,3.2244,,,18075,,,9.96,,,965.0,,,,,,1289.40,,,5463.00,,,4.610,,,0.7500,,,18h59m19.31s,+44d39m29.3s,15.198,
8552202,K00914.01,,CANDIDATE,CANDIDATE,,,,,,3.886609,3.2e-05,-3.2e-05,169.7412,0.0026,-0.0026,0.57,0.1,-0.1,3.2262,,,563,,,1.59,,,942.0,,,,,,19.00,,,5479.00,,,4.660,,,0.6800,,,19h14m54.40s,+44d36m27.0s,15.371,
3247396,K00121.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,8.8111355,,,136.45332,,,,,,3.65,,,386,,,,,,,,,,,,60.30,,,6197.00,,,3.867,,,,,,19h37m50.61s,+38d23m00.5s,12.759,
8605074,K00915.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,37.6016097,,,194.71306,,,,,,7.96,,,59919,,,,,,,,,,,,1491.20,,,5876.00,,,4.386,,,,,,18h49m13.45s,+44d42m52.8s,15.505,
8628973,K00916.01,Kepler-724 b,CONFIRMED,CANDIDATE,,,,,,3.3149523,6.7e-06,-6.7e-06,171.312,0.00061,-0.00061,0.9,0.25,-0.25,1.9184,,,1401,,,4.23,,,1113.0,,,,,,91.40,,,5401.00,,,4.460,,,0.9400,,,19h33m49.16s,+44d47m34.0s,15.142,
8655354,K00917.01,,CANDIDATE,CANDIDATE,,,,,,6.719746,4.1e-05,-4.1e-05,173.3554,0.0021,-0.0021,0.4,0.97,-0.97,2.2765,,,844,,,2.52,,,920.0,,,,,,32.60,,,5681.00,,,4.450,,,0.8600,,,20h04m11.89s,+44d42m22.7s,15.172,
8672910,K00918.01,Kepler-725 b,CONFIRMED,CANDIDATE,,,,,,39.643231,3.4e-05,-3.4e-05,206.59675,0.00027,-0.00027,0,0.47,-0.47,6.5002,,,15541,,,10.29,,,465.0,,,,,,590.80,,,5321.00,,,4.520,,,0.8500,,,18h55m54.60s,+44d48m41.6s,15.011,
8686150,K00919.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,51.4258533,,,173.53598,,,,,,14.7,,,67615,,,,,,,,,,,,2061.60,,,5953.00,,,4.447,,,,,,19h22m33.36s,+44d48m24.4s,15.631,
8689031,K00920.01,Kepler-726 b,CONFIRMED,CANDIDATE,,,,,,21.80441,0.00014,-0.00014,190.4969,0.0023,-0.0023,0.71,0.99,-0.99,3.3299,,,1158,,,2.4,,,512.0,,,,,,40.50,,,5330.00,,,4.680,,,0.6600,,,19h26m52.16s,+44d53m14.3s,15.067,
8689373,K00921.01,Kepler-253 c,CONFIRMED,CANDIDATE,,,,,,10.281925,6.8e-05,-6.8e-05,175.3398,0.0022,-0.0022,0.69,0.53,-0.53,3.6155,,,1134,,,2.66,,,651.0,,,,,,43.40,,,5046.00,,,4.620,,,0.7500,,,19h27m22.08s,+44d51m29.1s,15.532,
8689373,K00921.02,Kepler-253 d,CONFIRMED,CANDIDATE,,,,,,18.11978,0.00013,-0.00013,182.6171,0.0024,-0.0024,0.7,0.52,-0.52,4.3562,,,1475,,,3.09,,,540.0,,,,,,46.50,,,5046.00,,,4.620,,,0.7500,,,19h27m22.08s,+44d51m29.1s,15.532,
8689373,K00921.03,Kepler-253 b,CONFIRMED,CANDIDATE,,,,,,3.784064,3.8e-05,-3.8e-05,133.2758,0.0033,-0.0033,0.85,0.4,-0.4,1.9481,,,417,,,1.76,,,911.0,,,,,,19.90,,,5046.00,,,4.620,,,0.7500,,,19h27m22.08s,+44d51m29.1s,15.532,
8826878,K00922.01,Kepler-727 b,CONFIRMED,CANDIDATE,,,,,,5.154441,3.1e-05,-3.1e-05,171.6414,0.002,-0.002,0.26,0.72,-0.72,2.8347,,,665,,,2.13,,,912.0,,,,,,40.20,,,5253.00,,,4.490,,,0.8400,,,19h39m23.25s,+45d02m03.9s,15.365,
8349582,K00122.01,Kepler-95 b,CONFIRMED,CANDIDATE,,,,,,11.523063,2.8e-05,-2.8e-05,131.96866,0.00092,-0.00092,0.83,0.14,-0.14,4.0638,,,514,,,2.78,,,823.0,,,,,,105.50,,,5714.00,,,4.390,,,1.0900,,,18h57m55.79s,+44d23m52.9s,12.346,
8883593,K00923.01,Kepler-728 b,CONFIRMED,CANDIDATE,,,,,,5.743491,2.7e-05,-2.7e-05,174.8975,0.0015,-0.0015,0.64,0.43,-0.43,3.5347,,,1143,,,3,,,926.0,,,,,,52.40,,,5669.00,,,4.560,,,0.8500,,,19h24m22.16s,+45d06m55.9s,15.543,
8951215,K00924.01,,CANDIDATE,CANDIDATE,,,,,,39.47585,0.00043,-0.00043,173.3114,0.0035,-0.0035,0.92,0.42,-0.42,2.616,,,1007,,,3.62,,,533.0,,,,,,22.50,,,5951.00,,,4.500,,,0.9500,,,19h24m49.93s,+45d14m39.8s,15.229,
9016295,K00925.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,19.9744832,,,171.62935,,,,,,3.9,,,38643,,,,,,,,,,,,1260.30,,,5819.00,,,4.500,,,,,,19h18m54.60s,+45d22m03.6s,15.217,
9077124,K00926.01,Kepler-729 b,CONFIRMED,CANDIDATE,,,,,,3.1663528,9.7e-06,-9.7e-06,170.96571,0.00095,-0.00095,0.09,0.49,-0.49,3.3168,,,1524,,,3.58,,,1180.0,,,,,,92.00,,,5741.00,,,4.510,,,0.9300,,,19h05m26.43s,+45d24m51.4s,15.603,
9097120,K00927.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,23.89965,,,188.98183,,,,,,3.57,,,20765,,,,,,,,,,,,544.20,,,5957.00,,,4.532,,,,,,19h38m52.24s,+45d29m08.7s,15.453,
9140402,K00928.01,,CANDIDATE,CANDIDATE,,,,,,2.494155,1.9e-05,-1.9e-05,170.8557,0.0022,-0.0022,0.97,0.29,-0.29,2.5908,,,470,,,2.56,,,1212.0,,,,,,32.20,,,5565.00,,,4.540,,,0.8500,,,18h59m02.26s,+45d35m56.9s,15.251,
9141746,K00929.01,Kepler-730 b,CONFIRMED,CANDIDATE,,,,,,6.4916717,5.7e-06,-5.7e-06,174.6333,0.00032,-0.00032,0.39,0.25,-0.25,4.2273,,,7238,,,8.88,,,990.0,,,,,,374.90,,,5820.00,,,4.440,,,1.0400,,,19h02m13.15s,+45d34m43.9s,15.649,
9159275,K00930.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.0448542,,,172.01094,,,,,,7.07,,,1568,,,,,,,,,,,,164.20,,,5346.00,,,4.639,,,,,,19h34m44.39s,+45d31m00.6s,15.621,
9166862,K00931.01,Kepler-731 b,CONFIRMED,CANDIDATE,,,,,,3.8556024,1.1e-06,-1.1e-06,170.67825,9e-05,-9e-05,0.02,0.25,-0.25,3.1938,,,15998,,,12.05,,,1121.0,,,,,,746.30,,,5714.00,,,4.500,,,0.9700,,,19h45m34.36s,+45d34m06.8s,15.272,
9166870,K00932.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.8556029,,,170.67846,,,,,,2.97,,,1230,,,,,,,,,,,,102.50,,,5666.00,,,4.523,,,,,,19h45m34.90s,+45d34m11.7s,15.054,
5094751,K00123.01,Kepler-109 b,CONFIRMED,CANDIDATE,,,,,,6.481674,1.8e-05,-1.8e-05,122.9737,0.001,-0.001,0.56,0.21,-0.21,3.6334,,,318,,,2.64,,,1181.0,,,,,,98.50,,,5871.00,,,4.150,,,1.4300,,,19h21m34.26s,+40d17m05.5s,12.365,
9171801,K00933.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.185669,,,171.65937,,,,,,1.9,,,379,,,,,,,,,,,,6.20,,,5248.00,,,4.569,,,,,,19h51m09.24s,+45d33m55.5s,15.653,
9334289,K00934.01,Kepler-254 b,CONFIRMED,CANDIDATE,,,,,,5.826659,2.4e-05,-2.4e-05,173.0101,0.0014,-0.0014,0.81,0.31,-0.31,3.1739,,,1531,,,3.74,,,937.0,,,,,,60.10,,,5733.00,,,4.550,,,0.8600,,,19h12m39.53s,+45d48m59.4s,15.843,
9334289,K00934.02,Kepler-254 c,CONFIRMED,CANDIDATE,,,,,,12.41211,0.00019,-0.00019,142.5442,0.0058,-0.0058,0.86,0.27,-0.27,3.4349,,,594,,,2.38,,,729.0,,,,,,16.80,,,5733.00,,,4.550,,,0.8600,,,19h12m39.53s,+45d48m59.4s,15.843,
9334289,K00934.03,Kepler-254 d,CONFIRMED,CANDIDATE,,,,,,18.74656,0.0003,-0.0003,147.1275,0.006,-0.006,0.86,0.27,-0.27,4.0089,,,771,,,2.73,,,635.0,,,,,,18.50,,,5733.00,,,4.550,,,0.8600,,,19h12m39.53s,+45d48m59.4s,15.843,
9347899,K00935.01,Kepler-31 b,CONFIRMED,CANDIDATE,,,,,,20.861145,8.9e-05,-8.9e-05,180.0053,0.0014,-0.0014,0.83,0.12,-0.12,5.6634,,,1949,,,5.46,,,745.0,,,,,,89.30,,,6345.00,,,4.420,,,1.1000,,,19h36m05.52s,+45d51m11.1s,15.237,
9347899,K00935.02,Kepler-31 c,CONFIRMED,CANDIDATE,,,,,,42.63188,0.00032,-0.00032,141.1925,0.0029,-0.0029,0.85,0.11,-0.11,6.7766,,,1644,,,5.07,,,586.0,,,,,,56.00,,,6345.00,,,4.420,,,1.1000,,,19h36m05.52s,+45d51m11.1s,15.237,
9347899,K00935.03,Kepler-31 d,CONFIRMED,CANDIDATE,,,,,,87.6472,0.0015,-0.0015,134.9397,0.0061,-0.0061,0.81,0.14,-0.14,9.2599,,,1120,,,4.01,,,461.0,,,,,,28.50,,,6345.00,,,4.420,,,1.1000,,,19h36m05.52s,+45d51m11.1s,15.237,
